"x1" "y1" "x2" "y2" "trajectory_index" "cluster"
0.023255814 0.225806512 0.023255814 0.870967814 0 0
0.139534884 0.258064372 0.069767442 0.806451721 1 0
0.23255814 0.838709581 0.418604651 0.903225674 2 0
0.162790698 0.935483907 0.302325581 0.935483907 3 0
0.465116279 0.580645209 1 0.290322605 4 0
1 0.290322605 0.697674419 0.193548279 4 0
0.465116279 0.580645209 0.279069767 0.258064372 5 -2
0.279069767 0.258064372 1 0.032258233 5 0
0.976744186 0.645161302 0.744186047 0.129032186 6 0
0.976744186 0.645161302 0.953488372 0.225806512 7 0
0.930232558 0.258064372 0.88372093 0.193548279 8 0
0.930232558 0.258064372 1 0.032258233 9 0
0.976744186 0.903225674 0.88372093 0.516129116 10 0
0.069767442 0.806451721 0.372093023 0.193548279 11 0
0.930232558 0.774193488 0.953488372 0.161290419 12 0
0.976744186 0.774193488 1 0.483870884 13 0
0.906976744 0.870967814 0.837209302 0.451613023 14 0
0.558139535 0.967741767 0.558139535 0.774193488 15 0
0.744186047 0.903225674 0.488372093 0.870967814 16 0
0.744186047 0.903225674 0.139534884 0.387096558 17 0
0.627906977 0.935483907 0.511627907 0.838709581 18 0
0 0.258064372 0.488372093 0.290322605 19 -2
0.651162791 0.967741767 0.465116279 0.903225674 20 0
0.697674419 0.903225674 0.325581395 0.709677395 21 0
0.023255814 0.806451721 0.906976744 0.741935256 22 0
0.093023256 0.967741767 0.976744186 0.838709581 23 0
1 1 0.581395349 0.741935256 24 0
0.023255814 1 0.023255814 0.354838698 25 0
0.744186047 0 0.11627907 0.677419163 26 0
0.744186047 0 0.744186047 0.967741767 27 0
0.744186047 0.967741767 0.302325581 0.548386977 27 0
0.744186047 0 0.302325581 0.806451721 28 0
0.302325581 0.806451721 0.325581395 0.838709581 28 0
0.744186047 0 0.139534884 0.709677395 29 0
0.744186047 0 0.162790698 0.806451721 30 0
0.302325581 1 0.162790698 0.225806512 31 0
0.744186047 0 0.325581395 0.516129116 32 0
0.023255814 0.806451721 0.069767442 0.806451721 33 0
0.76744186 0.935483907 0.209302326 0.354838698 34 -2
0.209302326 0.354838698 0.255813953 0.096774326 34 -2
0.744186047 0.903225674 0.23255814 0.774193488 35 0
0.023255814 0.741935256 0.511627907 0 36 0
0.023255814 0.741935256 0 0.322580465 37 0
0.023255814 0.741935256 0.069767442 0.806451721 38 0
0.837209302 0.967741767 0.976744186 0.322580465 39 0
0.837209302 0.967741767 0.837209302 0.258064372 40 0
0.837209302 0.967741767 0.976744186 0.193548279 41 0
0.837209302 0.967741767 0.953488372 0.225806512 42 0
0.023255814 0.806451721 0.046511628 0.774193488 43 0
0.837209302 0.967741767 0.976744186 0.516129116 44 0
0.837209302 0.967741767 0.976744186 0.774193488 45 0
0.837209302 0.774193488 0.953488372 1 46 0
0.837209302 0.774193488 1 1 47 0
0.837209302 0.774193488 0.976744186 0.903225674 48 0
0.837209302 0.774193488 1 1 49 0
0.744186047 0 0.76744186 0.741935256 50 0
0.76744186 0.741935256 0.627906977 0.354838698 50 -2
0.744186047 0 0.604651163 0.903225674 51 0
0.604651163 0.903225674 0.674418605 0.419354791 51 0
0.744186047 0.967741767 0.302325581 0.806451721 52 0
0.302325581 0.806451721 0.162790698 0.806451721 52 0
0.906976744 1 0.744186047 0 53 0
0.744186047 0 0.23255814 0.774193488 53 0
0.023255814 0.806451721 0.069767442 0.806451721 54 0
0.744186047 0.903225674 0.930232558 0.838709581 55 0
0.209302326 0.548386977 0.162790698 0.354838698 56 -2
0.604651163 0.516129116 0.813953488 0.483870884 57 0
0 0.258064372 0.139534884 0.064516093 58 0
0.976744186 0.387096558 0.953488372 0.161290419 59 0
0.581395349 0.935483907 0.604651163 0.322580465 60 0
0.813953488 0.61290307 0.976744186 0.838709581 61 1
0.069767442 0.161290419 0.209302326 0.161290419 62 0
0.139534884 0.387096558 0.302325581 0.225806512 63 0
0.139534884 0.387096558 0.139534884 0.193548279 64 0
0.813953488 0.225806512 0.674418605 0.61290307 65 0
0 0.709677395 0.162790698 0.290322605 66 0
0.11627907 0.419354791 0.11627907 0.161290419 67 0
0 0.193548279 0.11627907 0.161290419 68 0
0 0.193548279 0.11627907 0.161290419 69 0
0 0.193548279 0.023255814 0.161290419 70 0
0.162790698 0.419354791 0.093023256 0.193548279 71 0
0.139534884 0.387096558 0.348837209 0.290322605 72 0
0.139534884 0.387096558 0.302325581 0.225806512 73 0
0.046511628 0.709677395 0.348837209 0.225806512 74 0
0.534883721 0.870967814 0.488372093 0.935483907 75 0
0.813953488 0.225806512 0.837209302 0.645161302 76 1
0.093023256 0.709677395 0.139534884 0.774193488 77 0
0.093023256 0.709677395 0.302325581 0.483870884 78 0
0.139534884 0.709677395 0.209302326 0.483870884 79 0
0.186046512 0.387096558 0.302325581 0.225806512 80 0
0.093023256 0.709677395 0.348837209 0.225806512 81 0
0.093023256 0.709677395 0.348837209 0.354838698 82 0
0.139534884 0.709677395 0.302325581 0.483870884 83 0
0.139534884 0.709677395 0.348837209 0.354838698 84 0
0.139534884 0.709677395 0.348837209 0.225806512 85 -2
0.139534884 0.709677395 0.279069767 0.258064372 86 0
0.11627907 0.677419163 0.302325581 0.225806512 87 0
0.11627907 0.677419163 0.395348837 0.290322605 88 0
0 0.709677395 0.162790698 0.419354791 89 0
0 0.709677395 0.046511628 0.193548279 90 0
